execution_number,client_id,status_response,body_response,elapsed_time,current_date
483,202f15a7-8a10-4b9d-ae05-179037690122,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.09256672859192,06_06_2022
500,d8f1878e-88a6-47b0-8105-1f275060f14d,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.08971667289734,06_06_2022
773,3a256763-ab8a-4f66-8f48-3b1774421e8a,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",16.718400239944458,06_06_2022
255,982e9ace-387a-4922-a369-9bbe29d65323,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.404850721359253,06_06_2022
672,22bfa415-0b8d-4aeb-a1e0-ab47c2e51243,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",16.94199824333191,06_06_2022
870,6cce9819-9f55-4051-90b4-6b5b2516f3ec,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",16.73417019844055,06_06_2022
330,1055b52e-ce7e-4c5c-ab36-01d252f55c64,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.441994190216064,06_06_2022
977,07157c17-8448-459d-9d07-7d15247fd202,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",16.685407400131226,06_06_2022
272,76608e22-e9ef-4234-b3cf-b5c903f93ada,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.563591480255127,06_06_2022
228,e98382bb-b5b9-460f-b3e5-5e94b70a85be,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.6361026763916,06_06_2022
614,2b307482-766e-45c6-83e5-113723c7296a,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.140063524246216,06_06_2022
831,ddba1850-61cc-4828-a088-ecd2d8a5f30a,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",16.902214288711548,06_06_2022
762,1b401c82-464e-45f4-9db1-f265a09efa31,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",16.975515127182007,06_06_2022
451,833dd5ec-fe32-4cc4-9863-cbc750637fd6,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.440457105636597,06_06_2022
200,db6684c7-4021-4a67-bb65-5c0107e93b68,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.77437734603882,06_06_2022
392,90571745-e593-4c3a-ae72-72c382f547d6,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.66546058654785,06_06_2022
840,fc284a9e-b63e-4b7a-9f81-ff0dc043f735,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.07032799720764,06_06_2022
246,6c35a2a2-dbbe-4075-b144-3e32f9b71c04,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.837096691131592,06_06_2022
723,17c3fd19-1fbf-43b3-940b-4d5f6b218f3d,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.38377285003662,06_06_2022
522,517c8dcb-bdbc-4496-aabb-5f59745ac112,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.72923493385315,06_06_2022
96,b28ca27a-9294-4a07-9aa2-c051f4a76ca0,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",18.337066650390625,06_06_2022
676,42306177-182c-419d-a26c-ab5eb6bfa75d,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.594635009765625,06_06_2022
511,035f9197-bd63-4281-96e0-f275ea64e36e,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.879268646240234,06_06_2022
974,54ac8432-9775-480b-85a6-3f20f7e06783,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.317221879959106,06_06_2022
95,5c2bfbca-cd23-4add-846e-b81dc3ed160f,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",18.481581687927246,06_06_2022
89,b03cdae7-bb73-4a1a-9661-291341835efd,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",18.53958034515381,06_06_2022
70,3b10be29-d6a8-4813-820d-e9102783e590,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",18.608818292617798,06_06_2022
551,7377e932-525b-4edb-9196-ebb12c49de85,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",18.0651798248291,06_06_2022
858,4c8034df-8864-49ba-b7f5-ebf6ab5517b0,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.752319812774658,06_06_2022
783,8ddf8f8d-1773-4847-aa70-770dba29db84,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",18.06859302520752,06_06_2022
388,d16fe837-c8b1-43b8-909f-35892fafb8f8,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",21.473894357681274,06_06_2022
784,f37417ba-4ab9-4003-8e4f-e7a5f8e51b36,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",23.62364673614502,06_06_2022
859,3889a9df-6e7b-4c86-955f-1c809998ae00,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",23.990235805511475,06_06_2022
909,43d17a44-68ca-49cc-8c64-4a584b9ca737,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",24.02800965309143,06_06_2022
932,023f7e61-56df-429c-88c7-b230b6bb75b2,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",24.00886368751526,06_06_2022
546,a0478f74-8fea-47fc-9c1e-accbcc9358e2,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",24.54869055747986,06_06_2022
403,9161ca68-ed21-4579-9963-8a721a46d104,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",24.754293203353882,06_06_2022
910,bf70269d-00ce-4591-80da-76487e28b2c3,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",24.134478092193604,06_06_2022
153,60abbc18-88a9-46f8-a426-fb3c459a62f2,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.14996075630188,06_06_2022
518,04a60706-ca92-43d6-a7d7-603eb4b09d75,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",24.751164436340332,06_06_2022
897,4f35bb34-edfa-4836-b9a5-a49f245ae7e6,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",24.46838927268982,06_06_2022
3,45d559c0-c5db-4825-94b1-d2fe2673acb2,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.642289876937866,06_06_2022
303,6551f602-1146-4af9-86f6-9b93acf4f44f,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.245474338531494,06_06_2022
697,cda24ff0-aaec-42b3-84b2-3f76043444ef,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",24.744401931762695,06_06_2022
122,0bf04c1a-0b66-4e68-89cb-647667e6cf36,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.59774661064148,06_06_2022
832,d0c2b6e1-b20f-4781-afab-b1665d953031,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",24.64471983909607,06_06_2022
44,e0ab9903-6eba-4082-bbaf-57315cb49af1,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.761455059051514,06_06_2022
83,97f0d530-991a-488c-a1b2-de2228263f36,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.764593601226807,06_06_2022
121,fe6982ee-ab64-4619-93ca-497d4318a9cd,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.721617937088013,06_06_2022
850,f239f951-5a2f-46a8-ae33-98de421beb12,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",24.753318071365356,06_06_2022
278,08e0a42d-9dfe-4236-8490-e8b4542070b2,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.580196857452393,06_06_2022
141,11c434d1-42cb-4a5f-a9ae-2cae7a51b433,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.824751615524292,06_06_2022
504,87a6f8e3-2cfe-42b2-8ed0-2156da73456c,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.349826097488403,06_06_2022
863,a2b3686d-9db7-46a8-aebf-aa14566628c6,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",24.88951802253723,06_06_2022
298,5097b573-7ee8-41a3-bdb4-4b57e80b0917,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.618603944778442,06_06_2022
848,d662d482-42eb-47f7-9853-e42221e375e7,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",24.913506031036377,06_06_2022
468,388d7804-c461-42f3-a293-161db9fec723,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.46207857131958,06_06_2022
128,131d612a-f04b-4710-8226-0ffb4968ad1b,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.975046634674072,06_06_2022
98,491d72ff-53df-4390-9237-8db31f36931a,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",26.071959972381592,06_06_2022
410,0e77509f-b618-4f42-a0b2-66d5127e377b,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.674596548080444,06_06_2022
350,70545d29-5c82-41ac-b0e3-824322b6cc12,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.749313831329346,06_06_2022
878,fda50407-f7c6-42d1-b44c-27279a42402e,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.253414630889893,06_06_2022
159,ec0103a7-83e1-413b-85ec-2a368af611f6,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",26.15820074081421,06_06_2022
447,55e28578-dfc8-445a-9fc8-5ac3b791b6f5,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.86245584487915,06_06_2022
152,bd80e2c0-055e-4cf1-84a5-e9e7e2fc41d7,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",26.255723237991333,06_06_2022
71,86fed45a-2a51-4638-8b02-1678bec497dd,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",26.56197953224182,06_06_2022
390,6fc7b659-37f4-479f-bab5-3f2127994581,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",26.192795991897583,06_06_2022
65,f13ad51f-7eca-4a85-b0e0-f81b540c8ce4,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",26.73296308517456,06_06_2022
326,398028ec-5a53-4307-b786-f22d6593d9d9,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",26.377843856811523,06_06_2022
114,47d5dd2e-93d2-447e-9279-aeb61e9af10a,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",26.748921871185303,06_06_2022
93,d1feb7d9-56ed-4cf2-8d36-07d82e358127,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",26.769848108291626,06_06_2022
398,11ee0ad4-58c3-41f1-b34c-aff9e750a8f2,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",26.35376811027527,06_06_2022
497,6622114f-c090-4141-b840-f43f9d4c2e3d,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",26.22360897064209,06_06_2022
820,e0cefe9c-3410-4df3-86f7-707a7ea81e9a,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.79676651954651,06_06_2022
946,6d79b9d5-09c3-48c0-a8c6-8d88f24c7fe3,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.706324338912964,06_06_2022
867,65efb6f9-1365-4be2-929d-c59993594a0e,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.779712677001953,06_06_2022
523,8975c574-a65c-49fc-a628-7c8e258d6e42,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",26.24568462371826,06_06_2022
412,55f26bda-a8d3-4b04-a2a3-4c982cb7e435,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",26.428425788879395,06_06_2022
963,1c4d337b-f79e-4513-9edc-ece77a8846fb,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.726576566696167,06_06_2022
194,57892125-e776-4a20-868e-d75cfeb9c3a2,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",26.655763387680054,06_06_2022
254,2594e199-c414-4cbd-a84c-4c12cf0888b9,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",26.607394456863403,06_06_2022
921,ead1cdc3-bb4f-44d0-91e9-4bf304bee878,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.795546293258667,06_06_2022
177,e3eb39f3-29f3-4844-be30-13deec36dba9,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",26.6854407787323,06_06_2022
413,eb02ad4d-f6a1-435a-b218-46c2dc96c940,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",26.46274471282959,06_06_2022
182,7888936b-4da2-41f7-9352-ffae602b883b,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",26.717357873916626,06_06_2022
301,9da5f735-2305-426c-b541-42d758a0c1c3,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",26.607853651046753,06_06_2022
929,178864fb-a881-48da-837c-96bc30e87ca3,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",25.83048439025879,06_06_2022
